Year,State,Event_Type,Return_Period_Years,Occurrence_Probability,Affected_Properties,Economic_Loss_USD,Insured_Loss_USD,Reinsurance_Recovery_USD,Net_Insurer_Loss_USD,VIX_Regime,Interest_Rate_Regime
2037,Colorado,Flood,10,0.1,89612,538097002.45,311761677.44,108058276.5,203703400.94,Moderate Volatility,Falling Rates
2037,Illinois,Tornado,10,0.1,88961,211926439.9,163685972.43,112472577.19,51213395.24,Moderate Volatility,Stable Rates
2037,Colorado,Hurricane,10,0.1,2042,103411279.45,66936800.14,16771774.21,50165025.93,Moderate Volatility,Falling Rates
2038,Tennessee,Tornado,10,0.1,14307,35317988.87,15325714.52,10625621.16,4700093.36,High Volatility,Rising Rates
2038,Texas,Winter Storm,25,0.04,27290,282490160.03,167422537.82,65126328.37,102296209.45,Moderate Volatility,Rising Rates
2039,Texas,Hurricane,25,0.04,25970,22980827.94,16003608.3,9339664.62,6663943.68,Moderate Volatility,Stable Rates
2039,Louisiana,Winter Storm,10,0.1,36895,140281039.15,68658918.29,46798692.47,21860225.82,Crisis,Stable Rates
2039,Texas,Flood,100,0.01,30854,42230677.97,32418223.1,10584390.47,21833832.63,Crisis,Stable Rates
2039,Louisiana,Earthquake,25,0.04,79359,245904228.55,187001117.57,41649485.47,145351632.1,Crisis,Falling Rates
2040,Florida,Hurricane,10,0.1,32421,484048937.09,318862079.61,125674448.1,193187631.51,Low Volatility,Stable Rates
2040,Texas,Hurricane,10,0.1,28032,32286042.37,20698993.5,6944073.94,13754919.56,Crisis,Rising Rates
2040,Illinois,Tornado,25,0.04,24293,11288870.54,6404144.81,4267493.1,2136651.71,Moderate Volatility,Falling Rates
2040,California,Tornado,25,0.04,20884,33352242.54,24402691.49,11824098.06,12578593.43,Moderate Volatility,Stable Rates
2040,Texas,Flood,100,0.01,81142,318713078.28,231118104.49,161750047.74,69368056.75,Moderate Volatility,Rising Rates
